时间,预测电力,真实电力,预测天气
2021-07-19 00:00:00,2411.617,2610.0,22.787650130112507
2021-07-19 01:00:00,2480.8894,2533.0,25.186090542770277
2021-07-19 02:00:00,2463.3848,2529.0,25.404944002126243
2021-07-19 03:00:00,2521.0854,2551.0,24.45449057447371
2021-07-19 04:00:00,2355.104,2632.0,20.407174631601958
2021-07-19 05:00:00,2646.1997,2920.0,23.78186728787734
2021-07-19 06:00:00,3207.2717,3478.0,26.835355262526924
2021-07-19 07:00:00,4277.63,4206.0,30.22169704595818
2021-07-19 08:00:00,4358.4536,4787.0,30.71525510461727
2021-07-19 09:00:00,4599.6074,5050.0,30.054387988523683
2021-07-19 10:00:00,4527.85,5231.0,29.282751023493596
2021-07-19 11:00:00,4950.883,5226.0,33.55102847204454
2021-07-19 12:00:00,4834.9614,5378.0,31.025378713856036
2021-07-19 13:00:00,4967.7676,5407.0,37.177856447239506
2021-07-19 14:00:00,4820.219,5360.0,31.11447122966011
2021-07-19 15:00:00,5309.29,5274.0,32.520956822113
2021-07-19 16:00:00,4349.313,5024.0,28.809623446754593
2021-07-19 17:00:00,3963.8894,4759.0,27.519772039242152
2021-07-19 18:00:00,4009.4526,4533.0,27.64758934786892
2021-07-19 19:00:00,3600.3215,4204.0,26.734899326715976
2021-07-19 20:00:00,4548.6577,3892.0,29.764593667248498
2021-07-19 21:00:00,3385.9062,3653.0,26.732054361765638
2021-07-19 22:00:00,4115.3584,3394.0,27.78319183020762
2021-07-19 23:00:00,3864.6511,3085.0,27.3103860932867
2021-07-20 00:00:00,2747.8875,2876.0,26.42030006237938
2021-07-20 01:00:00,2716.3308,2790.0,26.289579754701847
2021-07-20 02:00:00,2612.6255,2763.0,25.251357011067302
2021-07-20 03:00:00,2834.2512,2777.0,26.246667299522624
2021-07-20 04:00:00,3593.9338,2814.0,28.29585099408532
2021-07-20 05:00:00,2798.7617,3080.0,24.64200648811111
2021-07-20 06:00:00,3875.3562,3600.0,28.714890339274817
2021-07-20 07:00:00,4586.4297,4301.0,33.28318358152451
2021-07-20 08:00:00,4812.696,4802.0,33.52288753062982
2021-07-20 09:00:00,4902.665,5036.0,31.809116932432932
2021-07-20 10:00:00,4975.4736,5211.0,34.39223886243633
2021-07-20 11:00:00,4637.474,5187.0,29.55968093269384
2021-07-20 12:00:00,5344.88,5313.0,35.56205947839867
2021-07-20 13:00:00,4834.903,5337.0,31.000823025234922
2021-07-20 14:00:00,5364.876,5281.0,34.682526612352916
2021-07-20 15:00:00,5345.7563,5154.0,33.87491027321955
2021-07-20 16:00:00,4433.782,4791.0,28.750238838223236
2021-07-20 17:00:00,4784.54,4565.0,30.355449450240588
2021-07-20 18:00:00,4187.08,4384.0,28.204133633405103
2021-07-20 19:00:00,4670.572,4085.0,30.204107087078587
2021-07-20 20:00:00,4659.8447,3796.0,30.08132354856964
2021-07-20 21:00:00,3004.7083,3583.0,22.350523647435256
2021-07-20 22:00:00,3407.8167,3334.0,26.895889907199766
2021-07-20 23:00:00,4093.8489,3028.0,28.319973303095935
2021-07-21 00:00:00,2778.4102,2821.0,26.201009220020048
2021-07-21 01:00:00,3647.4338,2730.0,28.0516333936132
2021-07-21 02:00:00,2781.8474,2714.0,25.90032144885476
2021-07-21 03:00:00,2677.6929,2715.0,25.015435873767956
2021-07-21 04:00:00,3876.2983,2759.0,28.568925719676578
2021-07-21 05:00:00,3890.8076,3002.0,28.963814645730753
2021-07-21 06:00:00,3387.117,3490.0,26.811816547819312
2021-07-21 07:00:00,4319.7363,4174.0,31.344584115969635
2021-07-21 08:00:00,4440.611,4715.0,30.166111267989585
2021-07-21 09:00:00,4702.2544,4955.0,33.772465912559774
2021-07-21 10:00:00,4831.0483,5093.0,35.988320828883936
2021-07-21 11:00:00,4964.3867,5068.0,35.27721629963768
2021-07-21 12:00:00,4983.6606,5236.0,31.20803744395917
2021-07-21 13:00:00,5093.5254,5188.0,32.251141095738745
2021-07-21 14:00:00,5323.5337,5164.0,35.13127073562217
2021-07-21 15:00:00,5171.396,5007.0,33.1818789714342
2021-07-21 16:00:00,4973.6743,4692.0,31.764968365984114
2021-07-21 17:00:00,4691.0884,4480.0,30.748091625671087
2021-07-21 18:00:00,3711.6465,4317.0,25.326844650844443
2021-07-21 19:00:00,3998.9836,4020.0,27.961657831482587
2021-07-21 20:00:00,4007.3542,3742.0,28.08577959137349
2021-07-21 21:00:00,3357.772,3535.0,25.877769268457016
2021-07-21 22:00:00,3969.9216,3300.0,28.006563123896253
2021-07-21 23:00:00,3065.2085,3016.0,26.235670796521017
2021-07-22 00:00:00,3489.6355,2814.0,27.335639349595112
2021-07-22 01:00:00,2633.4175,2715.0,25.106042665538467
2021-07-22 02:00:00,2688.3362,2691.0,25.396412650923224
2021-07-22 03:00:00,2597.7368,2682.0,23.842717911296155
2021-07-22 04:00:00,2802.3745,2687.0,26.18947156174853
2021-07-22 05:00:00,2765.6553,2820.0,23.293368930335816
2021-07-22 06:00:00,3256.2866,3146.0,25.933764611695647
2021-07-22 07:00:00,4116.1006,3642.0,29.704569498599696
2021-07-22 08:00:00,4464.301,4092.0,31.63232877692855
2021-07-22 09:00:00,4318.0386,4331.0,30.781975304511402
2021-07-22 10:00:00,4446.924,4475.0,35.400648590427
2021-07-22 11:00:00,4347.0376,4479.0,35.23802711043789
2021-07-22 12:00:00,4425.2954,4538.0,33.78749945102608
2021-07-22 13:00:00,4583.3423,4570.0,34.4349494509916
2021-07-22 14:00:00,4528.784,4535.0,32.351726281963685
2021-07-22 15:00:00,4429.5063,4410.0,30.69698922352886
2021-07-22 16:00:00,4234.308,4274.0,29.30672795355961
2021-07-22 17:00:00,4266.5884,4176.0,30.181566556546823
2021-07-22 18:00:00,4039.2803,4089.0,28.62066839195706
2021-07-22 19:00:00,3852.1047,3847.0,27.989232757666553
2021-07-22 20:00:00,3165.3792,3613.0,23.64778582354942
2021-07-22 21:00:00,3162.5398,3385.0,25.089466041818074
2021-07-22 22:00:00,3146.3213,3179.0,26.73039824607626
2021-07-22 23:00:00,4221.207,2916.0,30.38436647242019
2021-07-23 00:00:00,3345.3142,2726.0,28.168890763048587
2021-07-23 01:00:00,2837.6775,2642.0,26.7998452695052
2021-07-23 02:00:00,2486.6782,2620.0,21.56351436801354
2021-07-23 03:00:00,2845.5142,2607.0,26.795585717417783
2021-07-23 04:00:00,2625.771,2624.0,24.096588792282272
2021-07-23 05:00:00,2999.7861,2752.0,26.328360862948223
2021-07-23 06:00:00,3330.4465,3077.0,27.437533998660786
2021-07-23 07:00:00,3955.649,3555.0,30.6984069535901
2021-07-23 08:00:00,4288.769,3932.0,29.572219584758273
2021-07-23 09:00:00,4311.6646,4117.0,29.52996079137889
2021-07-23 10:00:00,4488.203,4275.0,32.3473513473331
2021-07-23 11:00:00,4329.196,4353.0,32.01608224284838
2021-07-23 12:00:00,4519.836,4392.0,34.05230495048793
2021-07-23 13:00:00,4465.489,4425.0,33.949183577560945
2021-07-23 14:00:00,4483.2173,4364.0,34.815453274562415
2021-07-23 15:00:00,4241.45,4266.0,29.841400460902033
2021-07-23 16:00:00,4311.308,4120.0,31.825671538001938
2021-07-23 17:00:00,4116.4326,4050.0,31.009417591851133
2021-07-23 18:00:00,4020.7593,3990.0,28.386004184810062
2021-07-23 19:00:00,4029.1155,3730.0,30.399666912710128
2021-07-23 20:00:00,3239.5981,3518.0,24.376835476846587
2021-07-23 21:00:00,3191.14,3331.0,25.12833888183711
2021-07-23 22:00:00,3080.731,3160.0,25.58839768858759
2021-07-23 23:00:00,2708.6157,2898.0,23.049599093915138
2021-07-24 00:00:00,2708.133,2679.0,24.731214043406833
2021-07-24 01:00:00,3056.7927,2587.0,28.426634436876437
2021-07-24 02:00:00,2591.7961,2567.0,24.719503625851516
2021-07-24 03:00:00,3058.2065,2560.0,27.784248923455433
2021-07-24 04:00:00,2471.145,2555.0,22.453823847344946
2021-07-24 05:00:00,2715.3525,2657.0,26.406390615137834
2021-07-24 06:00:00,2805.1,2949.0,25.310081836188758
2021-07-24 07:00:00,3237.095,3368.0,27.499696892875402
2021-07-24 08:00:00,3469.204,3757.0,26.89291973288961
2021-07-24 09:00:00,3869.125,3973.0,29.80749138592107
2021-07-24 10:00:00,4113.3433,4111.0,31.384834733956357
2021-07-24 11:00:00,4173.884,4177.0,32.39950906562717
2021-07-24 12:00:00,3904.84,4212.0,29.409785788046033
2021-07-24 13:00:00,4189.486,4217.0,33.24429007678593
2021-07-24 14:00:00,4063.2432,4178.0,31.127360847197604
2021-07-24 15:00:00,4178.3394,4112.0,33.00711607144264
2021-07-24 16:00:00,4141.36,4045.0,35.88092516858771
2021-07-24 17:00:00,3878.4553,3956.0,28.010004234430767
2021-07-24 18:00:00,4027.5706,3870.0,30.402487722532108
2021-07-24 19:00:00,3817.8145,3647.0,29.57756695077068
2021-07-24 20:00:00,3553.2996,3411.0,28.271494883177308
2021-07-24 21:00:00,3495.1099,3231.0,28.260777581449695
2021-07-24 22:00:00,3728.553,3042.0,29.9888334591074
2021-07-24 23:00:00,3305.7275,2790.0,27.466767790918656
2021-07-25 00:00:00,2334.2935,2595.0,21.43584715763966
2021-07-25 01:00:00,2533.7585,2509.0,26.260081189317667
2021-07-25 02:00:00,2499.8928,2482.0,24.02942410721305
2021-07-25 03:00:00,3025.5305,2475.0,29.162193654748343
2021-07-25 04:00:00,2726.862,2472.0,26.910876307139482
2021-07-25 05:00:00,2499.5417,2560.0,24.08166712676709
2021-07-25 06:00:00,2948.4663,2819.0,28.418124426303528
2021-07-25 07:00:00,3149.418,3186.0,27.65581004249964
2021-07-25 08:00:00,3639.7441,3561.0,29.946766446093097
2021-07-25 09:00:00,3822.0002,3791.0,31.776259671435398
2021-07-25 10:00:00,4007.202,3940.0,32.9965852831113
2021-07-25 11:00:00,4074.8728,4030.0,33.324164819927695
2021-07-25 12:00:00,4054.7603,4065.0,34.338584276200194
2021-07-25 13:00:00,4056.5083,4061.0,32.904182605490334
2021-07-25 14:00:00,4057.4414,4046.0,32.04609900664058
2021-07-25 15:00:00,4045.799,4029.0,31.52955571051476
2021-07-25 16:00:00,3910.1157,4010.0,29.519139528776503
2021-07-25 17:00:00,3720.6265,3968.0,27.100124433726243
2021-07-25 18:00:00,3918.3586,3908.0,28.463331237347415
2021-07-25 19:00:00,3389.0244,3697.0,25.37392000765024
2021-07-25 20:00:00,4045.3933,3461.0,32.34268635577395
2021-07-25 21:00:00,3658.425,3260.0,28.697990965352627
2021-07-25 22:00:00,2969.0024,3052.0,25.31118131457637
2021-07-25 23:00:00,2722.3645,2781.0,24.790284456651513
2021-07-26 00:00:00,2499.6511,2599.0,23.45048532351909
2021-07-26 01:00:00,3266.3171,2524.0,27.30385263855463
2021-07-26 02:00:00,2521.6233,2519.0,24.074777183297005
2021-07-26 03:00:00,2535.9023,2534.0,26.084787817236425
2021-07-26 04:00:00,3049.6,2599.0,26.910219343329462
2021-07-26 05:00:00,3187.1973,2847.0,27.106597297022027
2021-07-26 06:00:00,3577.701,3342.0,28.76991040502788
2021-07-26 07:00:00,3781.773,4003.0,26.84871456202737
2021-07-26 08:00:00,4492.979,4513.0,30.892885325422146
2021-07-26 09:00:00,4141.4424,4723.0,26.881168237992604
2021-07-26 10:00:00,4781.853,4775.0,31.19761815221419
2021-07-26 11:00:00,4973.174,4619.0,31.471366663638392
2021-07-26 12:00:00,4969.9717,4723.0,31.730291932918107
2021-07-26 13:00:00,5130.59,4719.0,33.24580264860185
2021-07-26 14:00:00,5092.3423,4530.0,32.89840146165915
2021-07-26 15:00:00,4650.7554,4469.0,30.969035029873908
2021-07-26 16:00:00,5003.3003,4290.0,34.86565596857308
2021-07-26 17:00:00,3905.9812,4208.0,26.57393545126961
2021-07-26 18:00:00,4658.078,4082.0,30.07343546308348
2021-07-26 19:00:00,4590.7734,3830.0,29.867988757679722
2021-07-26 20:00:00,3388.6992,3568.0,25.3887843567635
2021-07-26 21:00:00,3932.4626,3375.0,28.179156249135026
2021-07-26 22:00:00,3222.5752,3165.0,25.78531930255585
2021-07-26 23:00:00,3528.9353,2861.0,28.484286905649476
2021-07-27 00:00:00,3876.6785,2638.0,28.59896040805737
2021-07-27 01:00:00,2704.5374,2567.0,24.636553197594626
2021-07-27 02:00:00,2571.7244,2561.0,21.509378994584416
2021-07-27 03:00:00,2699.482,2578.0,24.511797467894265
2021-07-27 04:00:00,2602.285,2636.0,21.683959743035416
2021-07-27 05:00:00,2868.5955,2816.0,24.46611704058285
2021-07-27 06:00:00,3563.3481,3144.0,27.49920598951101
2021-07-27 07:00:00,4071.6135,3627.0,27.82264830889045
2021-07-27 08:00:00,4712.2627,3987.0,29.395978982812657
2021-07-27 09:00:00,4751.091,4100.0,30.416839524267154
2021-07-27 10:00:00,4741.1777,4198.0,31.092353812853595
2021-07-27 11:00:00,4109.5405,4075.0,26.38588001815311
2021-07-27 12:00:00,4180.5586,4197.0,26.71643055478955
2021-07-27 13:00:00,5121.4116,4311.0,33.09183572685675
2021-07-27 14:00:00,4347.262,4408.0,26.973022488051022
2021-07-27 15:00:00,4604.5547,4443.0,29.496480580128424
2021-07-27 16:00:00,4560.039,4290.0,30.952832958912317
2021-07-27 17:00:00,3868.7085,4183.0,23.327932571034637
2021-07-27 18:00:00,3815.1934,4052.0,23.885191186479563
2021-07-27 19:00:00,4056.9348,3786.0,27.310451666745767
2021-07-27 20:00:00,3204.348,3545.0,23.27472255727463
2021-07-27 21:00:00,3802.3167,3357.0,28.71571306074298
2021-07-27 22:00:00,3828.7236,3153.0,28.67290776402507
2021-07-27 23:00:00,2911.7605,2881.0,26.260524276516865
2021-07-28 00:00:00,2499.6523,2688.0,18.654988616118644
2021-07-28 01:00:00,2775.0452,2613.0,26.701330643853407
2021-07-28 02:00:00,2487.4365,2616.0,21.104260245502807
2021-07-28 03:00:00,2592.377,2625.0,22.73840318320093
2021-07-28 04:00:00,2622.2307,2676.0,22.617762587646688
2021-07-28 05:00:00,2790.2441,2873.0,23.581157971119826
2021-07-28 06:00:00,3019.0583,3340.0,21.187078959393236
2021-07-28 07:00:00,4026.641,4042.0,27.449820153178464
2021-07-28 08:00:00,4038.3958,4594.0,23.539120814577704
2021-07-28 09:00:00,4073.1914,4810.0,23.09704493838183
2021-07-28 10:00:00,4194.437,4945.0,25.716740153936946
2021-07-28 11:00:00,4223.972,4883.0,26.272544860860116
2021-07-28 12:00:00,4228.485,5000.0,23.625634788379895
2021-07-28 13:00:00,4398.4604,5049.0,26.753742367067524
2021-07-28 14:00:00,4364.238,5017.0,27.92027853105578
2021-07-28 15:00:00,4636.918,4942.0,28.976168404484984
2021-07-28 16:00:00,3994.718,4612.0,25.57812532179147
2021-07-28 17:00:00,4889.709,4415.0,31.802811779778814
2021-07-28 18:00:00,4177.5327,4252.0,27.658249359836432
2021-07-28 19:00:00,3863.8357,3964.0,27.220034680049764
2021-07-28 20:00:00,3981.8057,3684.0,28.428833705032257
2021-07-28 21:00:00,4269.2026,3474.0,29.38603350309919
2021-07-28 22:00:00,4490.642,3249.0,29.531533004579007
2021-07-28 23:00:00,3362.1282,2962.0,27.41878162584592
2021-07-29 00:00:00,3386.98,2777.0,27.692188468545847
2021-07-29 01:00:00,2605.9998,2699.0,23.949860183563853
2021-07-29 02:00:00,2598.5527,2684.0,23.97860332082089
2021-07-29 03:00:00,2716.2249,2697.0,25.413724957374523
2021-07-29 04:00:00,2626.6309,2739.0,22.690970333012558
2021-07-29 05:00:00,3342.187,2945.0,27.73643302141426
2021-07-29 06:00:00,3709.8477,3374.0,29.28136058206382
2021-07-29 07:00:00,3805.357,3979.0,26.128984977904718
2021-07-29 08:00:00,4361.9365,4515.0,31.73609579641583
2021-07-29 09:00:00,4513.9526,4723.0,31.68988605655957
2021-07-29 10:00:00,4529.281,4911.0,28.56958688747229
2021-07-29 11:00:00,4849.8276,4917.0,31.26491082685792
2021-07-29 12:00:00,4389.231,5011.0,28.999540923109482
2021-07-29 13:00:00,4875.1226,5029.0,34.41244850342283
2021-07-29 14:00:00,4964.762,4869.0,33.116704153682115
2021-07-29 15:00:00,4832.815,4691.0,29.740463210567448
2021-07-29 16:00:00,4584.0713,4489.0,29.141776845608085
2021-07-29 17:00:00,4533.0566,4339.0,28.651332819275122
2021-07-29 18:00:00,4327.068,4189.0,28.482870127298472
2021-07-29 19:00:00,3506.1055,3910.0,25.190757682117397
2021-07-29 20:00:00,3576.0684,3653.0,26.932374510911
2021-07-29 21:00:00,4481.8486,3450.0,30.504255725288438
