hour,time,prediction,feature_contributions,sorted_contributions,explanation_text
0,00:00,2937.4423828125,"{'Temperature': {'contribution': 2.8979876449148336, 'feature_value': 2.948426914342931, 'feature_chinese': '温度'}, 'Hour': {'contribution': 474.98462887708894, 'feature_value': 0.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -26.921018868432263, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -43.2796605756031, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 474.98462887708894, 'feature_value': 0.0, 'abs_contribution': 474.98462887708894}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -43.2796605756031, 'feature_value': 1.0, 'abs_contribution': 43.2796605756031}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -26.921018868432263, 'feature_value': 4.0, 'abs_contribution': 26.921018868432263}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 2.8979876449148336, 'feature_value': 2.948426914342931, 'abs_contribution': 2.8979876449148336}]",0:00时刻，小时最大程度增加用电需求(+475.0)，周数最大程度减少用电需求(-43.3)
1,01:00,2829.55126953125,"{'Temperature': {'contribution': 73.11657770606563, 'feature_value': 3.594020047843514, 'feature_chinese': '温度'}, 'Hour': {'contribution': 451.8162197584701, 'feature_value': 1.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -28.466876068577577, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -58.004146757748536, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 451.8162197584701, 'feature_value': 1.0, 'abs_contribution': 451.8162197584701}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 73.11657770606563, 'feature_value': 3.594020047843514, 'abs_contribution': 73.11657770606563}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -58.004146757748536, 'feature_value': 1.0, 'abs_contribution': 58.004146757748536}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -28.466876068577577, 'feature_value': 4.0, 'abs_contribution': 28.466876068577577}]",1:00时刻，小时最大程度增加用电需求(+451.8)，周数最大程度减少用电需求(-58.0)
2,02:00,2850.343994140625,"{'Temperature': {'contribution': -7.148811479261288, 'feature_value': 4.358950198832561, 'feature_chinese': '温度'}, 'Hour': {'contribution': 454.7883264957016, 'feature_value': 2.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -0.1316381606213375, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -36.776396696173656, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 454.7883264957016, 'feature_value': 2.0, 'abs_contribution': 454.7883264957016}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -36.776396696173656, 'feature_value': 1.0, 'abs_contribution': 36.776396696173656}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': -7.148811479261288, 'feature_value': 4.358950198832561, 'abs_contribution': 7.148811479261288}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -0.1316381606213375, 'feature_value': 4.0, 'abs_contribution': 0.1316381606213375}]",2:00时刻，小时最大程度增加用电需求(+454.8)，周数最大程度减少用电需求(-36.8)
3,03:00,2838.860595703125,"{'Temperature': {'contribution': 3.275891469977713, 'feature_value': 3.650040846464885, 'feature_chinese': '温度'}, 'Hour': {'contribution': 437.6485128734982, 'feature_value': 3.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -4.6588180564910076, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -36.91457912573234, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 437.6485128734982, 'feature_value': 3.0, 'abs_contribution': 437.6485128734982}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -36.91457912573234, 'feature_value': 1.0, 'abs_contribution': 36.91457912573234}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -4.6588180564910076, 'feature_value': 4.0, 'abs_contribution': 4.6588180564910076}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 3.275891469977713, 'feature_value': 3.650040846464885, 'abs_contribution': 3.275891469977713}]",3:00时刻，小时最大程度增加用电需求(+437.6)，周数最大程度减少用电需求(-36.9)
4,04:00,2930.67431640625,"{'Temperature': {'contribution': 32.12652866984642, 'feature_value': 3.808392075708821, 'feature_chinese': '温度'}, 'Hour': {'contribution': 387.5784236023485, 'feature_value': 4.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 0.563418208855176, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': 7.125485003233749, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 387.5784236023485, 'feature_value': 4.0, 'abs_contribution': 387.5784236023485}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 32.12652866984642, 'feature_value': 3.808392075708821, 'abs_contribution': 32.12652866984642}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': 7.125485003233749, 'feature_value': 1.0, 'abs_contribution': 7.125485003233749}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 0.563418208855176, 'feature_value': 4.0, 'abs_contribution': 0.563418208855176}]",4:00时刻，小时最大程度增加用电需求(+387.6)
5,05:00,3193.962890625,"{'Temperature': {'contribution': 4.332826322635187, 'feature_value': 3.276049393764544, 'feature_chinese': '温度'}, 'Hour': {'contribution': 440.4432967387986, 'feature_value': 5.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -19.427042258958647, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -84.01925995532442, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 440.4432967387986, 'feature_value': 5.0, 'abs_contribution': 440.4432967387986}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -84.01925995532442, 'feature_value': 1.0, 'abs_contribution': 84.01925995532442}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -19.427042258958647, 'feature_value': 4.0, 'abs_contribution': 19.427042258958647}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 4.332826322635187, 'feature_value': 3.276049393764544, 'abs_contribution': 4.332826322635187}]",5:00时刻，小时最大程度增加用电需求(+440.4)，周数最大程度减少用电需求(-84.0)
6,06:00,4368.6533203125,"{'Temperature': {'contribution': 8.764148637011752, 'feature_value': 2.3783800505854167, 'feature_chinese': '温度'}, 'Hour': {'contribution': 425.55706378496586, 'feature_value': 6.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -0.382392712943553, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -81.49782745327015, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 425.55706378496586, 'feature_value': 6.0, 'abs_contribution': 425.55706378496586}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -81.49782745327015, 'feature_value': 1.0, 'abs_contribution': 81.49782745327015}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 8.764148637011752, 'feature_value': 2.3783800505854167, 'abs_contribution': 8.764148637011752}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -0.382392712943553, 'feature_value': 4.0, 'abs_contribution': 0.382392712943553}]",6:00时刻，小时最大程度增加用电需求(+425.6)，周数最大程度减少用电需求(-81.5)
7,07:00,4794.36083984375,"{'Temperature': {'contribution': 30.737932921278784, 'feature_value': 3.5075795197058586, 'feature_chinese': '温度'}, 'Hour': {'contribution': 436.60752396011696, 'feature_value': 7.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -1.8408191729988166, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -68.77320115947995, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 436.60752396011696, 'feature_value': 7.0, 'abs_contribution': 436.60752396011696}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -68.77320115947995, 'feature_value': 1.0, 'abs_contribution': 68.77320115947995}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 30.737932921278784, 'feature_value': 3.5075795197058586, 'abs_contribution': 30.737932921278784}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -1.8408191729988166, 'feature_value': 4.0, 'abs_contribution': 1.8408191729988166}]",7:00时刻，小时最大程度增加用电需求(+436.6)，周数最大程度减少用电需求(-68.8)
8,08:00,4610.021484375,"{'Temperature': {'contribution': 15.965735034156229, 'feature_value': -1.2237983866854014, 'feature_chinese': '温度'}, 'Hour': {'contribution': 376.8660189667953, 'feature_value': 8.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 33.03464023318391, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -60.771515028071406, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 376.8660189667953, 'feature_value': 8.0, 'abs_contribution': 376.8660189667953}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -60.771515028071406, 'feature_value': 1.0, 'abs_contribution': 60.771515028071406}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 33.03464023318391, 'feature_value': 4.0, 'abs_contribution': 33.03464023318391}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 15.965735034156229, 'feature_value': -1.2237983866854014, 'abs_contribution': 15.965735034156229}]",8:00时刻，小时最大程度增加用电需求(+376.9)，周数最大程度减少用电需求(-60.8)
9,09:00,4789.24951171875,"{'Temperature': {'contribution': 13.16760406410682, 'feature_value': 1.0781491349779888, 'feature_chinese': '温度'}, 'Hour': {'contribution': 368.8182697382822, 'feature_value': 9.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -37.91976980028361, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -92.0799286196208, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 368.8182697382822, 'feature_value': 9.0, 'abs_contribution': 368.8182697382822}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -92.0799286196208, 'feature_value': 1.0, 'abs_contribution': 92.0799286196208}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -37.91976980028361, 'feature_value': 4.0, 'abs_contribution': 37.91976980028361}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 13.16760406410682, 'feature_value': 1.0781491349779888, 'abs_contribution': 13.16760406410682}]",9:00时刻，小时最大程度增加用电需求(+368.8)，周数最大程度减少用电需求(-92.1)
10,10:00,4461.86181640625,"{'Temperature': {'contribution': 41.07534804214011, 'feature_value': 0.3742382816119991, 'feature_chinese': '温度'}, 'Hour': {'contribution': 316.3639866085078, 'feature_value': 10.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -11.528899084937272, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -48.81872999455894, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 316.3639866085078, 'feature_value': 10.0, 'abs_contribution': 316.3639866085078}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -48.81872999455894, 'feature_value': 1.0, 'abs_contribution': 48.81872999455894}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 41.07534804214011, 'feature_value': 0.3742382816119991, 'abs_contribution': 41.07534804214011}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -11.528899084937272, 'feature_value': 4.0, 'abs_contribution': 11.528899084937272}]",10:00时刻，小时最大程度增加用电需求(+316.4)，周数最大程度减少用电需求(-48.8)
11,11:00,4511.23583984375,"{'Temperature': {'contribution': 6.727028669540485, 'feature_value': 2.457766565802184, 'feature_chinese': '温度'}, 'Hour': {'contribution': 301.34611198068626, 'feature_value': 11.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -5.065683887324189, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -81.28489003154456, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 301.34611198068626, 'feature_value': 11.0, 'abs_contribution': 301.34611198068626}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -81.28489003154456, 'feature_value': 1.0, 'abs_contribution': 81.28489003154456}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 6.727028669540485, 'feature_value': 2.457766565802184, 'abs_contribution': 6.727028669540485}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -5.065683887324189, 'feature_value': 4.0, 'abs_contribution': 5.065683887324189}]",11:00时刻，小时最大程度增加用电需求(+301.3)，周数最大程度减少用电需求(-81.3)
12,12:00,4459.69140625,"{'Temperature': {'contribution': 2.9501789725209466, 'feature_value': -2.1309297076655573, 'feature_chinese': '温度'}, 'Hour': {'contribution': 307.0302096795953, 'feature_value': 12.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -19.007968774622697, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -57.67590047495614, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 307.0302096795953, 'feature_value': 12.0, 'abs_contribution': 307.0302096795953}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -57.67590047495614, 'feature_value': 1.0, 'abs_contribution': 57.67590047495614}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -19.007968774622697, 'feature_value': 4.0, 'abs_contribution': 19.007968774622697}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 2.9501789725209466, 'feature_value': -2.1309297076655573, 'abs_contribution': 2.9501789725209466}]",12:00时刻，小时最大程度增加用电需求(+307.0)，周数最大程度减少用电需求(-57.7)
13,13:00,4511.6005859375,"{'Temperature': {'contribution': 61.4944528428841, 'feature_value': 2.2630744920677195, 'feature_chinese': '温度'}, 'Hour': {'contribution': 193.6506820924413, 'feature_value': 13.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -30.42989109083279, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -54.0735364670097, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 193.6506820924413, 'feature_value': 13.0, 'abs_contribution': 193.6506820924413}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 61.4944528428841, 'feature_value': 2.2630744920677195, 'abs_contribution': 61.4944528428841}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -54.0735364670097, 'feature_value': 1.0, 'abs_contribution': 54.0735364670097}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -30.42989109083279, 'feature_value': 4.0, 'abs_contribution': 30.42989109083279}]",13:00时刻，小时最大程度增加用电需求(+193.7)，周数最大程度减少用电需求(-54.1)
14,14:00,4575.7119140625,"{'Temperature': {'contribution': 42.971342975068914, 'feature_value': 0.4051577256242124, 'feature_chinese': '温度'}, 'Hour': {'contribution': 250.98405743949692, 'feature_value': 14.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -12.92746462011792, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -107.018923021082, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 250.98405743949692, 'feature_value': 14.0, 'abs_contribution': 250.98405743949692}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -107.018923021082, 'feature_value': 1.0, 'abs_contribution': 107.018923021082}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 42.971342975068914, 'feature_value': 0.4051577256242124, 'abs_contribution': 42.971342975068914}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -12.92746462011792, 'feature_value': 4.0, 'abs_contribution': 12.92746462011792}]",14:00时刻，小时最大程度增加用电需求(+251.0)，周数最大程度减少用电需求(-107.0)
15,15:00,4591.41943359375,"{'Temperature': {'contribution': 15.276393548787237, 'feature_value': 0.4601591760459869, 'feature_chinese': '温度'}, 'Hour': {'contribution': 170.4631975255894, 'feature_value': 15.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -17.387427195019015, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -41.01141375378316, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 170.4631975255894, 'feature_value': 15.0, 'abs_contribution': 170.4631975255894}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -41.01141375378316, 'feature_value': 1.0, 'abs_contribution': 41.01141375378316}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -17.387427195019015, 'feature_value': 4.0, 'abs_contribution': 17.387427195019015}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 15.276393548787237, 'feature_value': 0.4601591760459869, 'abs_contribution': 15.276393548787237}]",15:00时刻，小时最大程度增加用电需求(+170.5)，周数最大程度减少用电需求(-41.0)
16,16:00,4650.97021484375,"{'Temperature': {'contribution': -2.0031209238722156, 'feature_value': 1.283563906650726, 'feature_chinese': '温度'}, 'Hour': {'contribution': 187.50021280889223, 'feature_value': 16.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -20.91461034043986, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -125.71856647665965, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 187.50021280889223, 'feature_value': 16.0, 'abs_contribution': 187.50021280889223}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -125.71856647665965, 'feature_value': 1.0, 'abs_contribution': 125.71856647665965}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -20.91461034043986, 'feature_value': 4.0, 'abs_contribution': 20.91461034043986}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': -2.0031209238722156, 'feature_value': 1.283563906650726, 'abs_contribution': 2.0031209238722156}]",16:00时刻，小时最大程度增加用电需求(+187.5)，周数最大程度减少用电需求(-125.7)
17,17:00,4668.62451171875,"{'Temperature': {'contribution': -1.814683738091969, 'feature_value': 0.8687222303701225, 'feature_chinese': '温度'}, 'Hour': {'contribution': 157.49964599044708, 'feature_value': 17.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -20.208277354490892, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -83.12721350481122, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 157.49964599044708, 'feature_value': 17.0, 'abs_contribution': 157.49964599044708}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -83.12721350481122, 'feature_value': 1.0, 'abs_contribution': 83.12721350481122}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -20.208277354490892, 'feature_value': 4.0, 'abs_contribution': 20.208277354490892}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': -1.814683738091969, 'feature_value': 0.8687222303701225, 'abs_contribution': 1.814683738091969}]",17:00时刻，小时最大程度增加用电需求(+157.5)，周数最大程度减少用电需求(-83.1)
18,18:00,4665.1728515625,"{'Temperature': {'contribution': -32.04989231010241, 'feature_value': -3.445388193380724, 'feature_chinese': '温度'}, 'Hour': {'contribution': 130.02333758207956, 'feature_value': 18.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 14.656478098878791, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -121.28412475888616, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 130.02333758207956, 'feature_value': 18.0, 'abs_contribution': 130.02333758207956}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -121.28412475888616, 'feature_value': 1.0, 'abs_contribution': 121.28412475888616}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': -32.04989231010241, 'feature_value': -3.445388193380724, 'abs_contribution': 32.04989231010241}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 14.656478098878791, 'feature_value': 4.0, 'abs_contribution': 14.656478098878791}]",18:00时刻，小时最大程度增加用电需求(+130.0)，周数最大程度减少用电需求(-121.3)
19,19:00,4649.2294921875,"{'Temperature': {'contribution': 32.29521605994047, 'feature_value': 2.392875388602472, 'feature_chinese': '温度'}, 'Hour': {'contribution': 84.14643886145697, 'feature_value': 19.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 17.838055467738357, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -114.21423866361538, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -114.21423866361538, 'feature_value': 1.0, 'abs_contribution': 114.21423866361538}, {'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 84.14643886145697, 'feature_value': 19.0, 'abs_contribution': 84.14643886145697}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 32.29521605994047, 'feature_value': 2.392875388602472, 'abs_contribution': 32.29521605994047}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 17.838055467738357, 'feature_value': 4.0, 'abs_contribution': 17.838055467738357}]",19:00时刻，小时最大程度增加用电需求(+84.1)，周数最大程度减少用电需求(-114.2)
20,20:00,4516.0732421875,"{'Temperature': {'contribution': 31.983952826896925, 'feature_value': -0.94484491588584, 'feature_chinese': '温度'}, 'Hour': {'contribution': 21.8436147455786, 'feature_value': 20.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 30.873415276412494, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -77.2444562154446, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -77.2444562154446, 'feature_value': 1.0, 'abs_contribution': 77.2444562154446}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 31.983952826896925, 'feature_value': -0.94484491588584, 'abs_contribution': 31.983952826896925}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 30.873415276412494, 'feature_value': 4.0, 'abs_contribution': 30.873415276412494}, {'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 21.8436147455786, 'feature_value': 20.0, 'abs_contribution': 21.8436147455786}]",20:00时刻，温度最大程度增加用电需求(+32.0)，周数最大程度减少用电需求(-77.2)
21,21:00,4062.98388671875,"{'Temperature': {'contribution': 45.83808096311421, 'feature_value': -2.235151851169179, 'feature_chinese': '温度'}, 'Hour': {'contribution': 68.23106951578298, 'feature_value': 21.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -56.88522168198498, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -10.244174337901873, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 68.23106951578298, 'feature_value': 21.0, 'abs_contribution': 68.23106951578298}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -56.88522168198498, 'feature_value': 4.0, 'abs_contribution': 56.88522168198498}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 45.83808096311421, 'feature_value': -2.235151851169179, 'abs_contribution': 45.83808096311421}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -10.244174337901873, 'feature_value': 1.0, 'abs_contribution': 10.244174337901873}]",21:00时刻，小时最大程度增加用电需求(+68.2)，星期最大程度减少用电需求(-56.9)
22,22:00,3907.46142578125,"{'Temperature': {'contribution': 23.419862817614405, 'feature_value': -5.585244445074683, 'feature_chinese': '温度'}, 'Hour': {'contribution': 69.60426503734817, 'feature_value': 22.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -37.36263021715462, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -61.69344699671276, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 69.60426503734817, 'feature_value': 22.0, 'abs_contribution': 69.60426503734817}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -61.69344699671276, 'feature_value': 1.0, 'abs_contribution': 61.69344699671276}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -37.36263021715462, 'feature_value': 4.0, 'abs_contribution': 37.36263021715462}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 23.419862817614405, 'feature_value': -5.585244445074683, 'abs_contribution': 23.419862817614405}]",22:00时刻，小时最大程度增加用电需求(+69.6)，周数最大程度减少用电需求(-61.7)
23,23:00,3460.347900390625,"{'Temperature': {'contribution': 38.75047886834625, 'feature_value': -4.8088665272282, 'feature_chinese': '温度'}, 'Hour': {'contribution': 63.25522174558883, 'feature_value': 23.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 27.898821998583614, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': 22.901413234909803, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 63.25522174558883, 'feature_value': 23.0, 'abs_contribution': 63.25522174558883}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 38.75047886834625, 'feature_value': -4.8088665272282, 'abs_contribution': 38.75047886834625}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 27.898821998583614, 'feature_value': 4.0, 'abs_contribution': 27.898821998583614}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': 22.901413234909803, 'feature_value': 1.0, 'abs_contribution': 22.901413234909803}]",23:00时刻，小时最大程度增加用电需求(+63.3)
