feature_value,shap_value,sample_index,feature_name,feature_chinese
1.0,22.220169712640345,360,Week_of_Month,周数
1.0,9.591063542328776,361,Week_of_Month,周数
1.0,11.061882228180766,362,Week_of_Month,周数
1.0,11.363483456652611,363,Week_of_Month,周数
1.0,-7.156098272651434,364,Week_of_Month,周数
1.0,-23.680446569770574,365,Week_of_Month,周数
1.0,-38.693464242480694,366,Week_of_Month,周数
1.0,-28.020578819178045,367,Week_of_Month,周数
1.0,-31.880472678765656,368,Week_of_Month,周数
1.0,-43.5240038677305,369,Week_of_Month,周数
1.0,-72.58705365903675,370,Week_of_Month,周数
1.0,-61.828682606369256,371,Week_of_Month,周数
1.0,-64.04653810091317,372,Week_of_Month,周数
1.0,-66.70587440755219,373,Week_of_Month,周数
1.0,-68.15653078152798,374,Week_of_Month,周数
1.0,-86.22400944511406,375,Week_of_Month,周数
1.0,-62.280774676464496,376,Week_of_Month,周数
1.0,-45.971261778399345,377,Week_of_Month,周数
1.0,-43.8014021313563,378,Week_of_Month,周数
1.0,-24.244447988644243,379,Week_of_Month,周数
1.0,-10.265140988752245,380,Week_of_Month,周数
1.0,-5.830726277157664,381,Week_of_Month,周数
1.0,-7.7954851595312356,382,Week_of_Month,周数
1.0,-4.908980192542076,383,Week_of_Month,周数
1.0,-14.119862707965076,384,Week_of_Month,周数
1.0,-17.427417114563287,385,Week_of_Month,周数
1.0,-8.252728869877755,386,Week_of_Month,周数
1.0,-23.109648512005805,387,Week_of_Month,周数
1.0,-41.033094230033456,388,Week_of_Month,周数
1.0,-48.61730243433267,389,Week_of_Month,周数
1.0,-25.079094164147975,390,Week_of_Month,周数
1.0,-5.17129716526717,391,Week_of_Month,周数
1.0,-3.6887784894183278,392,Week_of_Month,周数
1.0,-25.86172296449542,393,Week_of_Month,周数
1.0,-45.94651028510183,394,Week_of_Month,周数
1.0,-54.70940872881562,395,Week_of_Month,周数
1.0,-48.02057495813817,396,Week_of_Month,周数
1.0,-85.20003556389362,397,Week_of_Month,周数
1.0,-79.75180273529142,398,Week_of_Month,周数
1.0,-104.81613911237568,399,Week_of_Month,周数
1.0,-91.57845043003559,400,Week_of_Month,周数
1.0,-77.03832567878068,401,Week_of_Month,周数
1.0,-75.18028726700693,402,Week_of_Month,周数
1.0,-70.14107780374587,403,Week_of_Month,周数
1.0,-58.799195792227984,404,Week_of_Month,周数
1.0,-47.23271872412413,405,Week_of_Month,周数
1.0,-39.061276675313714,406,Week_of_Month,周数
1.0,-41.65780804567039,407,Week_of_Month,周数
1.0,-103.23918675228953,408,Week_of_Month,周数
1.0,-113.16135845236481,409,Week_of_Month,周数
1.0,-118.6293999826163,410,Week_of_Month,周数
1.0,-127.90064340047539,411,Week_of_Month,周数
1.0,-171.1207987041399,412,Week_of_Month,周数
1.0,-237.3228419542685,413,Week_of_Month,周数
1.0,-235.00643567032182,414,Week_of_Month,周数
1.0,-221.20236332965084,415,Week_of_Month,周数
1.0,-218.74395268206484,416,Week_of_Month,周数
1.0,-199.13138326053507,417,Week_of_Month,周数
1.0,-215.13051107795908,418,Week_of_Month,周数
1.0,-251.22603370011785,419,Week_of_Month,周数
1.0,-235.9621874190122,420,Week_of_Month,周数
1.0,-237.14630759179593,421,Week_of_Month,周数
1.0,-223.2098366629146,422,Week_of_Month,周数
1.0,-207.6621315979585,423,Week_of_Month,周数
1.0,-166.36957882102578,424,Week_of_Month,周数
1.0,-157.8267722140439,425,Week_of_Month,周数
1.0,-153.8120435735956,426,Week_of_Month,周数
1.0,-145.8309475898929,427,Week_of_Month,周数
1.0,-145.71666746813804,428,Week_of_Month,周数
1.0,-94.51692206265405,429,Week_of_Month,周数
1.0,-100.04738094035537,430,Week_of_Month,周数
1.0,-110.82603296216577,431,Week_of_Month,周数
1.0,-67.20508204013109,432,Week_of_Month,周数
1.0,-68.54919901810587,433,Week_of_Month,周数
1.0,-76.72273482359945,434,Week_of_Month,周数
1.0,-72.32271239131688,435,Week_of_Month,周数
1.0,-100.68096439238637,436,Week_of_Month,周数
1.0,-136.30204896148294,437,Week_of_Month,周数
1.0,-96.57506991330534,438,Week_of_Month,周数
1.0,-81.46871269481257,439,Week_of_Month,周数
1.0,-72.99533377293497,440,Week_of_Month,周数
1.0,-68.72743503948674,441,Week_of_Month,周数
1.0,-81.32290009493008,442,Week_of_Month,周数
1.0,-49.82158915951848,443,Week_of_Month,周数
1.0,-64.67643483741209,444,Week_of_Month,周数
1.0,-42.312606765031816,445,Week_of_Month,周数
1.0,-33.34693922845647,446,Week_of_Month,周数
1.0,-7.942283838111908,447,Week_of_Month,周数
1.0,-5.280552107188851,448,Week_of_Month,周数
1.0,-14.123164330907166,449,Week_of_Month,周数
1.0,3.4684461058303713,450,Week_of_Month,周数
1.0,7.9827033183351155,451,Week_of_Month,周数
1.0,12.62816384408623,452,Week_of_Month,周数
1.0,31.356621321942658,453,Week_of_Month,周数
1.0,19.958947048988193,454,Week_of_Month,周数
1.0,-2.483002621214837,455,Week_of_Month,周数
1.0,34.785738975964485,456,Week_of_Month,周数
1.0,23.794826349914075,457,Week_of_Month,周数
1.0,20.044134349673985,458,Week_of_Month,周数
1.0,19.547464497834444,459,Week_of_Month,周数
1.0,10.164614829272033,460,Week_of_Month,周数
1.0,33.350196737125515,461,Week_of_Month,周数
1.0,97.87763047781773,462,Week_of_Month,周数
1.0,121.0992917574104,463,Week_of_Month,周数
1.0,150.04544314097612,464,Week_of_Month,周数
1.0,133.90435472158714,465,Week_of_Month,周数
1.0,138.447427858226,466,Week_of_Month,周数
1.0,138.0831090128608,467,Week_of_Month,周数
1.0,159.73481631057336,468,Week_of_Month,周数
1.0,133.05283712839707,469,Week_of_Month,周数
1.0,154.4336394556798,470,Week_of_Month,周数
1.0,174.4591108500585,471,Week_of_Month,周数
1.0,170.33946507576854,472,Week_of_Month,周数
1.0,161.78443776071072,473,Week_of_Month,周数
1.0,172.45116579078137,474,Week_of_Month,周数
1.0,162.88745888203383,475,Week_of_Month,周数
1.0,157.57957398789003,476,Week_of_Month,周数
1.0,122.99135336473584,477,Week_of_Month,周数
1.0,108.66775193147362,478,Week_of_Month,周数
1.0,76.02285524925217,479,Week_of_Month,周数
1.0,155.61343395922333,480,Week_of_Month,周数
1.0,153.66701863311232,481,Week_of_Month,周数
1.0,146.43574495606126,482,Week_of_Month,周数
1.0,144.87388336891308,483,Week_of_Month,周数
1.0,136.1531239163503,484,Week_of_Month,周数
1.0,130.19075646776707,485,Week_of_Month,周数
1.0,274.26984488726595,486,Week_of_Month,周数
1.0,332.092170921145,487,Week_of_Month,周数
1.0,386.2868956844788,488,Week_of_Month,周数
1.0,402.09525191312656,489,Week_of_Month,周数
1.0,450.05974174151197,490,Week_of_Month,周数
1.0,470.9585647959448,491,Week_of_Month,周数
1.0,474.3596648829617,492,Week_of_Month,周数
1.0,483.69373860144987,493,Week_of_Month,周数
1.0,462.75372664751484,494,Week_of_Month,周数
1.0,458.85468204271046,495,Week_of_Month,周数
1.0,390.1930206810776,496,Week_of_Month,周数
1.0,404.51283488228916,497,Week_of_Month,周数
1.0,383.71200973451135,498,Week_of_Month,周数
1.0,393.51491847118365,499,Week_of_Month,周数
1.0,382.2571742403135,500,Week_of_Month,周数
1.0,283.0837358184718,501,Week_of_Month,周数
1.0,231.37348772473632,502,Week_of_Month,周数
1.0,193.97518101500347,503,Week_of_Month,周数
3.0,41.249117747470734,0,Week_of_Month,周数
3.0,44.144183735735716,1,Week_of_Month,周数
3.0,46.45960408795625,2,Week_of_Month,周数
3.0,49.71219463273883,3,Week_of_Month,周数
3.0,57.7474137860164,4,Week_of_Month,周数
3.0,51.597729186564685,5,Week_of_Month,周数
3.0,38.182950819665564,6,Week_of_Month,周数
3.0,68.34994415709748,7,Week_of_Month,周数
3.0,67.39466325003654,8,Week_of_Month,周数
3.0,63.47283357301727,9,Week_of_Month,周数
3.0,53.614502568393945,10,Week_of_Month,周数
3.0,53.53565461436287,11,Week_of_Month,周数
3.0,54.99195156628266,12,Week_of_Month,周数
3.0,50.42073037007824,13,Week_of_Month,周数
3.0,41.012041160482916,14,Week_of_Month,周数
3.0,32.22108703209087,15,Week_of_Month,周数
3.0,10.111193089075387,16,Week_of_Month,周数
3.0,4.81619773901999,17,Week_of_Month,周数
3.0,-13.56932888628915,18,Week_of_Month,周数
3.0,-31.19160216871649,19,Week_of_Month,周数
3.0,-24.637942403182386,20,Week_of_Month,周数
3.0,11.050927755013108,21,Week_of_Month,周数
3.0,17.037840172089638,22,Week_of_Month,周数
3.0,16.42879970818758,23,Week_of_Month,周数
3.0,105.95561198528856,24,Week_of_Month,周数
3.0,104.99551771935076,25,Week_of_Month,周数
3.0,108.76725176662207,26,Week_of_Month,周数
3.0,108.41978819023818,27,Week_of_Month,周数
3.0,126.96530340436846,28,Week_of_Month,周数
3.0,148.9778636329621,29,Week_of_Month,周数
3.0,191.0447620363999,30,Week_of_Month,周数
3.0,211.83709008716048,31,Week_of_Month,周数
3.0,210.60075018428267,32,Week_of_Month,周数
3.0,219.92976306874306,33,Week_of_Month,周数
3.0,219.91492684360594,34,Week_of_Month,周数
3.0,200.4977061860636,35,Week_of_Month,周数
3.0,201.62315813994965,36,Week_of_Month,周数
3.0,203.52739664546215,37,Week_of_Month,周数
3.0,216.4315174593404,38,Week_of_Month,周数
3.0,209.75998143080622,39,Week_of_Month,周数
3.0,187.18682761237025,40,Week_of_Month,周数
3.0,180.75634144075215,41,Week_of_Month,周数
3.0,169.14793634887783,42,Week_of_Month,周数
3.0,145.22806382478214,43,Week_of_Month,周数
3.0,151.8187602481991,44,Week_of_Month,周数
3.0,139.1393095728755,45,Week_of_Month,周数
3.0,139.4947956665233,46,Week_of_Month,周数
3.0,124.11255105469375,47,Week_of_Month,周数
3.0,99.48985151853412,48,Week_of_Month,周数
3.0,108.82851427853107,49,Week_of_Month,周数
3.0,111.72844530045987,50,Week_of_Month,周数
3.0,102.54920683227479,51,Week_of_Month,周数
3.0,121.25013914100826,52,Week_of_Month,周数
3.0,137.843004877083,53,Week_of_Month,周数
3.0,163.431357404124,54,Week_of_Month,周数
3.0,156.97851799648254,55,Week_of_Month,周数
3.0,157.8309567825496,56,Week_of_Month,周数
3.0,161.72787654727696,57,Week_of_Month,周数
3.0,167.1785708438605,58,Week_of_Month,周数
3.0,159.99162043593824,59,Week_of_Month,周数
3.0,145.3688623042777,60,Week_of_Month,周数
3.0,140.31113023649903,61,Week_of_Month,周数
3.0,142.93514407079667,62,Week_of_Month,周数
3.0,138.24222501693293,63,Week_of_Month,周数
3.0,122.58744460880756,64,Week_of_Month,周数
3.0,108.83147662770003,65,Week_of_Month,周数
3.0,103.17712295455858,66,Week_of_Month,周数
3.0,93.99073055682703,67,Week_of_Month,周数
3.0,82.18678194364533,68,Week_of_Month,周数
3.0,68.78002894086764,69,Week_of_Month,周数
3.0,58.725380432382224,70,Week_of_Month,周数
3.0,52.606551086138936,71,Week_of_Month,周数
3.0,101.00527554564178,72,Week_of_Month,周数
3.0,107.2312685694173,73,Week_of_Month,周数
3.0,113.37372840743512,74,Week_of_Month,周数
3.0,115.08912742972375,75,Week_of_Month,周数
3.0,143.76897965084763,76,Week_of_Month,周数
3.0,150.42853727061302,77,Week_of_Month,周数
3.0,211.1261372278817,78,Week_of_Month,周数
3.0,222.84670970646664,79,Week_of_Month,周数
3.0,223.08676868099718,80,Week_of_Month,周数
3.0,217.18000347625465,81,Week_of_Month,周数
3.0,235.60546058217062,82,Week_of_Month,周数
3.0,242.58599155249075,83,Week_of_Month,周数
3.0,238.37513256000355,84,Week_of_Month,周数
3.0,247.5305602054298,85,Week_of_Month,周数
3.0,245.58727799786254,86,Week_of_Month,周数
3.0,224.34800553951413,87,Week_of_Month,周数
3.0,189.6610656783171,88,Week_of_Month,周数
3.0,194.6318517510593,89,Week_of_Month,周数
3.0,174.75899431910366,90,Week_of_Month,周数
3.0,163.80197408160194,91,Week_of_Month,周数
3.0,161.93737387187778,92,Week_of_Month,周数
3.0,120.60240838779137,93,Week_of_Month,周数
3.0,98.83211455270649,94,Week_of_Month,周数
3.0,90.9547154195048,95,Week_of_Month,周数
3.0,85.04372158877551,96,Week_of_Month,周数
3.0,85.5603412360698,97,Week_of_Month,周数
3.0,93.12982291460037,98,Week_of_Month,周数
3.0,100.40843898262828,99,Week_of_Month,周数
3.0,120.18937049727887,100,Week_of_Month,周数
3.0,151.5317400263995,101,Week_of_Month,周数
3.0,162.2175129437633,102,Week_of_Month,周数
3.0,177.7345170306042,103,Week_of_Month,周数
3.0,180.14795581614598,104,Week_of_Month,周数
3.0,178.8869743887149,105,Week_of_Month,周数
3.0,185.2604197075963,106,Week_of_Month,周数
3.0,186.02413171660154,107,Week_of_Month,周数
3.0,186.14000901417808,108,Week_of_Month,周数
3.0,177.69014338845386,109,Week_of_Month,周数
3.0,167.6431705695577,110,Week_of_Month,周数
3.0,159.08213819902392,111,Week_of_Month,周数
3.0,136.0048323763162,112,Week_of_Month,周数
3.0,135.84196965917945,113,Week_of_Month,周数
3.0,127.08797649137676,114,Week_of_Month,周数
3.0,120.97521768249571,115,Week_of_Month,周数
3.0,109.9756841058284,116,Week_of_Month,周数
3.0,66.2693431892246,117,Week_of_Month,周数
3.0,66.81132649486885,118,Week_of_Month,周数
3.0,55.63666262023151,119,Week_of_Month,周数
4.0,63.740552485063674,120,Week_of_Month,周数
4.0,57.315650253407654,121,Week_of_Month,周数
4.0,56.909305583946406,122,Week_of_Month,周数
4.0,66.07016166072339,123,Week_of_Month,周数
4.0,65.96713961679488,124,Week_of_Month,周数
4.0,93.63741515491158,125,Week_of_Month,周数
4.0,67.47145485650748,126,Week_of_Month,周数
4.0,62.64766751114279,127,Week_of_Month,周数
4.0,61.201798197850586,128,Week_of_Month,周数
4.0,67.00601709675044,129,Week_of_Month,周数
4.0,74.30484535843134,130,Week_of_Month,周数
4.0,73.17989237654955,131,Week_of_Month,周数
4.0,71.57415398739278,132,Week_of_Month,周数
4.0,75.0214458347857,133,Week_of_Month,周数
4.0,68.14172539368272,134,Week_of_Month,周数
4.0,74.3318215552345,135,Week_of_Month,周数
4.0,61.376410535192115,136,Week_of_Month,周数
4.0,57.60349723140709,137,Week_of_Month,周数
4.0,49.9541509711463,138,Week_of_Month,周数
4.0,45.24771227885969,139,Week_of_Month,周数
4.0,34.10879676590674,140,Week_of_Month,周数
4.0,32.64866818423383,141,Week_of_Month,周数
4.0,30.321151004536077,142,Week_of_Month,周数
4.0,16.95725762951188,143,Week_of_Month,周数
4.0,23.886686315871774,144,Week_of_Month,周数
4.0,32.49516921281815,145,Week_of_Month,周数
4.0,24.554283621162178,146,Week_of_Month,周数
4.0,23.267691340111195,147,Week_of_Month,周数
4.0,37.87706238910556,148,Week_of_Month,周数
4.0,73.4024302348122,149,Week_of_Month,周数
4.0,20.872570857927204,150,Week_of_Month,周数
4.0,8.131241066008807,151,Week_of_Month,周数
4.0,-1.9147808631509542,152,Week_of_Month,周数
4.0,-3.080496384054422,153,Week_of_Month,周数
4.0,-7.406341278031468,154,Week_of_Month,周数
4.0,-36.150775053091344,155,Week_of_Month,周数
4.0,-35.091728209406135,156,Week_of_Month,周数
4.0,-33.72587776798755,157,Week_of_Month,周数
4.0,-29.852743599936368,158,Week_of_Month,周数
4.0,-24.164341465625913,159,Week_of_Month,周数
4.0,-26.100219656769188,160,Week_of_Month,周数
4.0,-30.012465794142337,161,Week_of_Month,周数
4.0,-36.142592932023106,162,Week_of_Month,周数
4.0,-30.95744321672246,163,Week_of_Month,周数
4.0,-50.847549406345934,164,Week_of_Month,周数
4.0,-25.648397598098963,165,Week_of_Month,周数
4.0,2.836770699126646,166,Week_of_Month,周数
4.0,-26.52435786506161,167,Week_of_Month,周数
4.0,44.31699504643679,168,Week_of_Month,周数
4.0,51.54979244068265,169,Week_of_Month,周数
4.0,40.20410956531763,170,Week_of_Month,周数
4.0,51.23928726866841,171,Week_of_Month,周数
4.0,81.80583496607841,172,Week_of_Month,周数
4.0,62.03580111734569,173,Week_of_Month,周数
4.0,35.172354377508164,174,Week_of_Month,周数
4.0,35.21427205473184,175,Week_of_Month,周数
4.0,27.689657170027495,176,Week_of_Month,周数
4.0,16.879696351140737,177,Week_of_Month,周数
4.0,12.72827332392335,178,Week_of_Month,周数
4.0,-2.424662303328514,179,Week_of_Month,周数
4.0,-4.436602801829577,180,Week_of_Month,周数
4.0,-7.064573916234076,181,Week_of_Month,周数
4.0,-3.9325421380624177,182,Week_of_Month,周数
4.0,-5.290442834366113,183,Week_of_Month,周数
4.0,-20.664339315891265,184,Week_of_Month,周数
4.0,-21.938156436216087,185,Week_of_Month,周数
4.0,-38.91484423382208,186,Week_of_Month,周数
4.0,-45.43280374554917,187,Week_of_Month,周数
4.0,-50.99426232850179,188,Week_of_Month,周数
4.0,-20.061016833987086,189,Week_of_Month,周数
4.0,-17.59158705247566,190,Week_of_Month,周数
4.0,-28.3251914874278,191,Week_of_Month,周数
4.0,32.2743597914651,192,Week_of_Month,周数
4.0,38.56016562134959,193,Week_of_Month,周数
4.0,40.99158540830016,194,Week_of_Month,周数
4.0,44.77723304010928,195,Week_of_Month,周数
4.0,44.57806344024837,196,Week_of_Month,周数
4.0,46.681121615804734,197,Week_of_Month,周数
4.0,50.594033329635856,198,Week_of_Month,周数
4.0,54.335224968381226,199,Week_of_Month,周数
4.0,58.20452005298808,200,Week_of_Month,周数
4.0,74.80571067096666,201,Week_of_Month,周数
4.0,77.16513292837888,202,Week_of_Month,周数
4.0,73.85049003761262,203,Week_of_Month,周数
4.0,67.13105977382511,204,Week_of_Month,周数
4.0,64.1913881700486,205,Week_of_Month,周数
4.0,66.79895048066973,206,Week_of_Month,周数
4.0,68.56237483968958,207,Week_of_Month,周数
4.0,50.66389855055139,208,Week_of_Month,周数
4.0,41.44329646512866,209,Week_of_Month,周数
4.0,32.91009035766125,210,Week_of_Month,周数
4.0,39.25603361263871,211,Week_of_Month,周数
4.0,10.687031872719526,212,Week_of_Month,周数
4.0,2.7716836647689345,213,Week_of_Month,周数
4.0,6.317810075134039,214,Week_of_Month,周数
4.0,-12.398139837384225,215,Week_of_Month,周数
4.0,54.70469837628305,216,Week_of_Month,周数
4.0,63.25473711635917,217,Week_of_Month,周数
4.0,64.03372880470008,218,Week_of_Month,周数
4.0,86.38227463208139,219,Week_of_Month,周数
4.0,64.28110708728433,220,Week_of_Month,周数
4.0,59.971029930561784,221,Week_of_Month,周数
4.0,70.11775037948043,222,Week_of_Month,周数
4.0,82.25785001872107,223,Week_of_Month,周数
4.0,75.1155707879737,224,Week_of_Month,周数
4.0,93.57800198310986,225,Week_of_Month,周数
4.0,116.76019556082785,226,Week_of_Month,周数
4.0,119.40959630057216,227,Week_of_Month,周数
4.0,116.75583760276437,228,Week_of_Month,周数
4.0,121.19775920659303,229,Week_of_Month,周数
4.0,129.57405445836486,230,Week_of_Month,周数
4.0,144.78427043141798,231,Week_of_Month,周数
4.0,145.70867726642638,232,Week_of_Month,周数
4.0,138.0286021388322,233,Week_of_Month,周数
4.0,139.94439779400827,234,Week_of_Month,周数
4.0,139.5363255352527,235,Week_of_Month,周数
4.0,129.63110114105046,236,Week_of_Month,周数
4.0,110.56056555241346,237,Week_of_Month,周数
4.0,101.83561821751296,238,Week_of_Month,周数
4.0,94.48758831769229,239,Week_of_Month,周数
4.0,144.6353899088502,240,Week_of_Month,周数
4.0,142.20352373927832,241,Week_of_Month,周数
4.0,153.90286323048176,242,Week_of_Month,周数
4.0,155.20070642843842,243,Week_of_Month,周数
4.0,175.20587368130683,244,Week_of_Month,周数
4.0,217.17459629565477,245,Week_of_Month,周数
4.0,253.25942595660686,246,Week_of_Month,周数
4.0,252.39070138081908,247,Week_of_Month,周数
4.0,247.49315162207932,248,Week_of_Month,周数
4.0,243.58218885567038,249,Week_of_Month,周数
4.0,264.8598665172234,250,Week_of_Month,周数
4.0,266.61578468423335,251,Week_of_Month,周数
4.0,274.80570318449287,252,Week_of_Month,周数
4.0,274.42127373788503,253,Week_of_Month,周数
4.0,260.6785492811725,254,Week_of_Month,周数
4.0,262.0023698099144,255,Week_of_Month,周数
4.0,237.11721391247585,256,Week_of_Month,周数
4.0,240.00068821652792,257,Week_of_Month,周数
4.0,243.68853052913212,258,Week_of_Month,周数
4.0,235.52224330483935,259,Week_of_Month,周数
4.0,224.6016814135667,260,Week_of_Month,周数
4.0,174.25996726056562,261,Week_of_Month,周数
4.0,159.60071411984973,262,Week_of_Month,周数
4.0,166.91024644206277,263,Week_of_Month,周数
4.0,116.92953024905175,264,Week_of_Month,周数
4.0,125.20879620645195,265,Week_of_Month,周数
4.0,123.97450889084489,266,Week_of_Month,周数
4.0,122.10495839253068,267,Week_of_Month,周数
4.0,137.63625911373646,268,Week_of_Month,周数
4.0,117.54847165457905,269,Week_of_Month,周数
4.0,167.00094461992384,270,Week_of_Month,周数
4.0,180.30029803685844,271,Week_of_Month,周数
4.0,175.4993328464776,272,Week_of_Month,周数
4.0,167.00907026790082,273,Week_of_Month,周数
4.0,166.13539278879762,274,Week_of_Month,周数
4.0,169.9076441803202,275,Week_of_Month,周数
4.0,168.8735066286102,276,Week_of_Month,周数
4.0,168.123687739335,277,Week_of_Month,周数
4.0,153.10499976549298,278,Week_of_Month,周数
4.0,137.30796402441337,279,Week_of_Month,周数
4.0,129.05425446623937,280,Week_of_Month,周数
4.0,142.0323787446972,281,Week_of_Month,周数
4.0,143.96268508828246,282,Week_of_Month,周数
4.0,129.41599848447368,283,Week_of_Month,周数
4.0,131.83996055389755,284,Week_of_Month,周数
4.0,96.92362033675425,285,Week_of_Month,周数
4.0,77.70077827117406,286,Week_of_Month,周数
4.0,80.85550455412827,287,Week_of_Month,周数
5.0,-103.75737809825688,288,Week_of_Month,周数
5.0,-95.7757066508755,289,Week_of_Month,周数
5.0,-109.70156044796109,290,Week_of_Month,周数
5.0,-110.79972579032183,291,Week_of_Month,周数
5.0,-123.31207320649177,292,Week_of_Month,周数
5.0,-136.0984018708393,293,Week_of_Month,周数
5.0,-216.0126989190653,294,Week_of_Month,周数
5.0,-191.14591800391673,295,Week_of_Month,周数
5.0,-273.55668143760414,296,Week_of_Month,周数
5.0,-267.2530630287528,297,Week_of_Month,周数
5.0,-277.3668844043836,298,Week_of_Month,周数
5.0,-252.25205384396017,299,Week_of_Month,周数
5.0,-296.8680820363015,300,Week_of_Month,周数
5.0,-300.5343632254377,301,Week_of_Month,周数
5.0,-320.9885110751912,302,Week_of_Month,周数
5.0,-308.3541790063866,303,Week_of_Month,周数
5.0,-270.4472702828888,304,Week_of_Month,周数
5.0,-274.74385637705217,305,Week_of_Month,周数
5.0,-262.43676491823976,306,Week_of_Month,周数
5.0,-242.95557731148787,307,Week_of_Month,周数
5.0,-241.26474348695018,308,Week_of_Month,周数
5.0,-188.35688338268548,309,Week_of_Month,周数
5.0,-189.2919425733853,310,Week_of_Month,周数
5.0,-136.81502433636226,311,Week_of_Month,周数
5.0,-242.452326409705,312,Week_of_Month,周数
5.0,-244.02328424420207,313,Week_of_Month,周数
5.0,-245.76891964811833,314,Week_of_Month,周数
5.0,-253.17171425700187,315,Week_of_Month,周数
5.0,-254.17784513633697,316,Week_of_Month,周数
5.0,-247.5855229660496,317,Week_of_Month,周数
5.0,-439.448103996329,318,Week_of_Month,周数
5.0,-527.5345651352778,319,Week_of_Month,周数
5.0,-575.3581085236743,320,Week_of_Month,周数
5.0,-586.4069526165351,321,Week_of_Month,周数
5.0,-577.9622629624978,322,Week_of_Month,周数
5.0,-594.1108526522294,323,Week_of_Month,周数
5.0,-603.7977476834878,324,Week_of_Month,周数
5.0,-612.4654044784234,325,Week_of_Month,周数
5.0,-592.6592458272353,326,Week_of_Month,周数
5.0,-576.1384656373971,327,Week_of_Month,周数
5.0,-497.0682142799906,328,Week_of_Month,周数
5.0,-486.94736519833094,329,Week_of_Month,周数
5.0,-458.0696648249496,330,Week_of_Month,周数
5.0,-460.37814537235533,331,Week_of_Month,周数
5.0,-447.886730053816,332,Week_of_Month,周数
5.0,-345.2268595246319,333,Week_of_Month,周数
5.0,-303.3011323335208,334,Week_of_Month,周数
5.0,-262.56810435632246,335,Week_of_Month,周数
5.0,-213.60807587727905,336,Week_of_Month,周数
5.0,-215.38539475873114,337,Week_of_Month,周数
5.0,-209.00904963795097,338,Week_of_Month,周数
5.0,-223.6875326792523,339,Week_of_Month,周数
5.0,-213.17019827220588,340,Week_of_Month,周数
5.0,-197.88842445641757,341,Week_of_Month,周数
5.0,-406.48419590726496,342,Week_of_Month,周数
5.0,-521.8073628671467,343,Week_of_Month,周数
5.0,-534.2284651175048,344,Week_of_Month,周数
5.0,-518.5395120987296,345,Week_of_Month,周数
5.0,-493.08574540250004,346,Week_of_Month,周数
5.0,-457.0887289022654,347,Week_of_Month,周数
5.0,-442.39022351358085,348,Week_of_Month,周数
5.0,-427.6834845329449,349,Week_of_Month,周数
5.0,-421.8568605651334,350,Week_of_Month,周数
5.0,-368.59534665618094,351,Week_of_Month,周数
5.0,-283.2731120880507,352,Week_of_Month,周数
5.0,-288.1033906950243,353,Week_of_Month,周数
5.0,-271.1869226214476,354,Week_of_Month,周数
5.0,-274.5911930207349,355,Week_of_Month,周数
5.0,-265.2769354619272,356,Week_of_Month,周数
5.0,-182.5399587722309,357,Week_of_Month,周数
5.0,-111.54886000984348,358,Week_of_Month,周数
5.0,-98.56006736861542,359,Week_of_Month,周数
